         1267460110 function calls (1245118675 primitive calls) in 1076.814 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10482   53.236    0.005   53.303    0.005 c:\users\user\anaconda3\envs\tasc\lib\site-packages\fpdf\fpdf.py:1906(_out)
192450366   37.673    0.000   59.000    0.000 {built-in method builtins.isinstance}
     5978   29.457    0.005   30.615    0.005 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
13608220/11582284   26.423    0.000   35.993    0.000 {built-in method numpy.array}
  2300628   20.912    0.000  148.102    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1640(take_nd)
   604280   18.783    0.000   33.351    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:238(_rebuild_blknos_and_blklocs)
   763487   17.190    0.000   17.190    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
  5727567   17.012    0.000   17.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 53532750   14.513    0.000   20.238    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
 17396410   13.876    0.000   35.243    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1460(is_extension_array_dtype)
   840615   12.811    0.000   12.811    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\ma\core.py:3363(dtype)
 17397733   12.752    0.000   17.436    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\base.py:413(find)
94523638/94518118   11.943    0.000   13.173    0.000 {built-in method builtins.getattr}
  2299304   11.889    0.000   42.397    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:442(maybe_promote)
  2300628   11.700    0.000   36.349    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1511(_get_take_nd_function)
1991363/1991362   11.487    0.000  124.231    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:201(__init__)
59012962/45346251   11.247    0.000   17.146    0.000 {built-in method builtins.len}
  5785207   11.052    0.000   27.250    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_dtype.py:333(_name_get)
   338530   10.832    0.000   10.832    0.000 {built-in method _operator.eq}
   290538   10.297    0.000   34.123    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:935(fast_xs)
  3943251    9.932    0.000    9.942    0.000 {built-in method numpy.empty}
  6307295    9.752    0.000   19.923    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5143(__setattr__)
  4298421    9.084    0.000   17.468    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:124(__init__)
   764450    8.901    0.000   15.441    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:210(maybe_convert_indices)
  2129984    8.780    0.000  400.993    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:2869(__getitem__)
  2297987    8.046    0.000  173.928    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1238(take_nd)
   787402    7.778    0.000   70.503    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\ops\array_ops.py:195(comparison_op)
4690916/4335943    7.685    0.000   30.496    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
 62629606    7.121    0.000    7.121    0.000 {built-in method builtins.issubclass}
   764450    6.870    0.000  228.568    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1436(take)
5000804/4775411    6.829    0.000   45.000    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5125(__getattr__)
   500354    6.823    0.000    9.356    0.000 c:\users\user\anaconda3\envs\tasc\lib\inspect.py:2879(_bind)
      120    6.552    0.055  496.968    4.141 C:\Users\user\pybatch\batch_calculations.py:1049(draw_layer_graph)
  6583300    6.367    0.000   14.031    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1600(_is_dtype_type)
  3465804    6.226    0.000   14.622    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:39(seterr)
    39908    6.073    0.000    6.073    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
   794181    5.321    0.000    5.321    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
  2886967    5.301    0.000    5.301    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:195(__init__)
  3465804    5.238    0.000    5.637    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:139(geterr)
  1174588    5.233    0.000   36.427    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:390(sanitize_array)
