         2852247016 function calls (2803145602 primitive calls) in 2370.360 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11281  104.757    0.009  104.795    0.009 c:\users\user\anaconda3\envs\tasc\lib\site-packages\fpdf\fpdf.py:1906(_out)
     9457  102.949    0.011  106.207    0.011 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
451922690   87.334    0.000  136.811    0.000 {built-in method builtins.isinstance}
  1727145   58.915    0.000   58.915    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
29264306/24075868   55.026    0.000   79.021    0.000 {built-in method numpy.array}
  1010482   53.752    0.000   53.752    0.000 {built-in method _operator.eq}
  5185393   45.868    0.000  352.914    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1640(take_nd)
127799352   34.521    0.000   47.837    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
  1236874   33.860    0.000   62.321    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:238(_rebuild_blknos_and_blklocs)
 11546592   33.839    0.000   33.839    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 41074565   31.952    0.000   82.487    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1460(is_extension_array_dtype)
   887390   30.456    0.000  101.675    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:935(fast_xs)
 41075889   30.130    0.000   41.199    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\base.py:413(find)
4869933/4869932   28.216    0.000  307.658    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:201(__init__)
142232915/110602780   26.850    0.000   38.996    0.000 {built-in method builtins.len}
  5185393   26.497    0.000   84.212    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\algorithms.py:1511(_get_take_nd_function)
217731119/217724047   26.372    0.000   28.150    0.000 {built-in method builtins.getattr}
  5184068   26.107    0.000   94.264    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:442(maybe_promote)
 13244072   25.707    0.000   63.971    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_dtype.py:333(_name_get)
 15016522   22.499    0.000   46.806    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5143(__setattr__)
  1795852   21.517    0.000   21.517    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
  5105744   20.914    0.000  896.622    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:2869(__getitem__)
 10065494   20.846    0.000   40.388    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:124(__init__)
  1718063   19.244    0.000   33.658    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:210(maybe_convert_indices)
  8588868   18.638    0.000   18.640    0.000 {built-in method numpy.empty}
