         6692482835 function calls (6557613457 primitive calls) in 7346.059 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40457 1589.682    0.039 1589.896    0.039 c:\users\user\anaconda3\envs\tasc\lib\site-packages\fpdf\fpdf.py:1906(_out)
1056867347  198.407    0.000  294.538    0.000 {built-in method builtins.isinstance}
    34448  179.202    0.005  185.937    0.005 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
79759535/72348402  146.831    0.000  178.608    0.000 {built-in method numpy.array}
  4248717  116.736    0.000  214.609    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:224(_rebuild_blknos_and_blklocs)
  5518268  110.924    0.000  110.924    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
  2856166  106.639    0.000  106.639    0.000 {built-in method _operator.eq}
 30966314   96.476    0.000   96.476    0.000 {method 'reduce' of 'numpy.ufunc' objects}
14718114/14718113   96.463    0.000  802.593    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:315(__init__)
  2465938   91.766    0.000  279.333    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:932(fast_xs)
 19027178   83.699    0.000  147.190    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5426(__finalize__)
 16681227   79.028    0.000  371.442    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\array_algos\take.py:111(_take_nd_ndarray)
 47448172   72.414    0.000  200.598    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5480(__setattr__)
371274080/277989357   69.397    0.000  106.606    0.000 {built-in method builtins.len}
 21468004   66.882    0.000   85.188    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:230(__init__)
210427709   63.517    0.000   89.411    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
  5549005   60.098    0.000  105.061    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:249(maybe_convert_indices)
 15604152   58.153    0.000 2045.949    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:3418(__getitem__)
 27690278   56.559    0.000   56.564    0.000 {built-in method numpy.empty}
329426921/329401195   49.065    0.000   55.403    0.000 {built-in method builtins.getattr}
36950774/35508677   46.259    0.000  310.434    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5464(__getattr__)
 16681227   43.902    0.000   84.450    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\array_algos\take.py:517(_take_preprocess_indexer_and_fill_value)
 16560281   40.327    0.000  510.132    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1122(take_nd)
  4931876   39.608    0.000   53.360    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\numerictypes.py:578(_can_coerce_all)
 28407403   37.704    0.000  101.984    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:627(name)
  5729466   37.557    0.000  958.610    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:5491(_cmp_method)
  5593116   37.023    0.000   37.023    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
  2471587   36.876    0.000   50.480    0.000 c:\users\user\anaconda3\envs\tasc\lib\inspect.py:2879(_bind)
  8808695   36.380    0.000  146.094    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:463(sanitize_array)
  7419850   34.261    0.000   36.546    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\matplotlib\transforms.py:185(set_children)
      500   34.041    0.068 2514.499    5.029 \\metlab25\d\pybatch\batch_calculations.py:1067(draw_layer_graph)
 38614176   32.979    0.000   72.501    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1578(_is_dtype_type)
21505889/19925259   31.859    0.000  144.272    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     4673   31.564    0.007   31.564    0.007 {built-in method io.open}
  5729466   30.438    0.000  244.951    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\ops\array_ops.py:229(comparison_op)
  8856035   29.987    0.000  173.300    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1916(new_block)
  5494010   29.821    0.000 1019.181    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:3518(take)
142381021   29.362    0.000   29.362    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:349(iget)
  4282068   28.041    0.000  288.605    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:970(iget)
   184568   27.807    0.000   27.807    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
 20738328   27.779    0.000   77.176    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1264(is_bool_dtype)
77218720/77218714   27.637    0.000   43.697    0.000 {built-in method builtins.hasattr}
  8808694   27.559    0.000   52.080    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:671(_try_cast)
 16681227   27.467    0.000  411.034    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\array_algos\take.py:54(take_nd)
 12448224   26.555    0.000   65.479    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:39(seterr)
 26940638   26.525    0.000   91.616    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:160(is_object_dtype)
 35340745   25.965    0.000   42.714    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:577(name)
 16525236   25.947    0.000   80.657    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:4729(equals)
  5494010   25.858    0.000  865.794    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:833(take)
 18171652   25.824    0.000   25.824    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:261(make_block_same_class)
  5730067   25.535    0.000  155.312    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:439(check_array_indexer)
  5488531   25.391    0.000   25.391    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
 14161914   25.256    0.000   56.533    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\base.py:41(shape)
 64768964   25.171    0.000   25.171    0.000 {pandas._libs.lib.is_list_like}
 13154532   24.852    0.000   79.178    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1843(maybe_coerce_values)
 12842484   24.095    0.000   24.095    0.000 {built-in method numpy.arange}
 74333220   24.070    0.000   32.094    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:794(__len__)
 40106869   23.707    0.000   32.921    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1656(dtype)
      500   23.251    0.047  895.270    1.791 \\metlab25\d\pybatch\batch_calculations.py:298(_scratch_min_max)
 12762254   23.198    0.000   23.198    0.000 {method 'copy' of 'numpy.ndarray' objects}
 10121096   23.145    0.000  472.840    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:3871(_get_item_cache)
 12448224   23.037    0.000   24.497    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_ufunc_config.py:139(geterr)
 54658402   22.992    0.000   35.223    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\inference.py:321(is_hashable)
  5494010   22.406    0.000   90.243    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:950(take)
  5483056   22.312    0.000 1409.849    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:3480(_getitem_bool_array)
      950   21.863    0.023  747.598    0.787 \\metlab25\d\pybatch\batch_calculations.py:1028(<listcomp>)
  8856091   21.618    0.000   62.389    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1875(get_block_type)
 13389419   21.603    0.000   97.308    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\common.py:100(is_bool_indexer)
 19122428   21.419    0.000   42.386    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:574(is_dtype_equal)
  8282409   20.351    0.000   29.964    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:605(_simple_new)
 32014755   20.021    0.000   28.944    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1420(is_extension_array_dtype)
  5518269   19.691    0.000  574.327    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:674(<listcomp>)
 28443481   19.587    0.000   64.380    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1718(validate_all_hashable)
  5730141   19.488    0.000  557.764    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:2915(_construct_result)
  8325482   18.895    0.000   33.580    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexes\base.py:4587(__getitem__)
  8067719   18.835    0.000   18.999    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
 59099504   18.790    0.000   23.369    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1543(get_dtype)
 29551505   18.460    0.000   21.435    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:431(ensure_wrapped_if_datetimelike)
  5518268   18.454    0.000   18.454    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
 21468004   18.305    0.000   18.305    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\flags.py:47(__init__)
 16565759   18.245    0.000   18.245    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:467(maybe_promote)
 14718114   18.112    0.000   21.280    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1532(__init__)
     2357   17.959    0.008   17.959    0.008 {method 'close' of '_io.BufferedRandom' objects}
7196685/4834050   17.910    0.000  924.309    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexing.py:918(__getitem__)
 28370277   17.774    0.000   89.486    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:369(extract_array)
  2465938   17.513    0.000  131.595    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\cast.py:1781(find_common_type)
 22906575   17.433    0.000   23.381    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:553(_get_axis)
  8808639   17.417    0.000  210.124    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:1562(from_array)
57612122/51882051   17.358    0.000  124.968    0.000 c:\users\user\anaconda3\envs\tasc\lib\site-packages\numpy\core\_asarray.py:16(asarray)
