         2460009316 function calls (2412520230 primitive calls) in 2258.641 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17632  219.524    0.012  219.638    0.012 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\fpdf\fpdf.py:1906(_out)
     9636   81.642    0.008   84.444    0.009 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
387932066   73.137    0.000  107.636    0.000 {built-in method builtins.isinstance}
27492329/24691227   47.287    0.000   59.062    0.000 {built-in method numpy.array}
  1920149   45.801    0.000   45.801    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
  1293923   44.423    0.000   44.423    0.000 {built-in method _operator.eq}
  1141990   39.875    0.000  125.719    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:932(fast_xs)
5399045/5399044   33.487    0.000  294.558    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:315(__init__)
  1287743   33.158    0.000   60.740    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:224(_rebuild_blknos_and_blklocs)
 10157615   31.373    0.000   31.373    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  6710653   29.184    0.000   51.887    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5426(__finalize__)
  7839278   26.653    0.000   32.924    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:230(__init__)
  5813499   26.203    0.000  131.757    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\array_algos\take.py:111(_take_nd_ndarray)
 17090560   25.217    0.000   70.426    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5480(__setattr__)
136832290/103852430   24.328    0.000   37.849    0.000 {built-in method builtins.len}
 77432408   22.795    0.000   32.189    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
  1930523   21.011    0.000   36.825    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:249(maybe_convert_indices)
  5602312   20.520    0.000  671.290    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:3418(__getitem__)
  2283980   18.379    0.000   24.593    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\numpy\core\numerictypes.py:578(_can_coerce_all)
